Seed,DetectorJitterPs,TdcJitterPs,TdcResolutionPs,MaxTrueSigmaPs,MaxFwhmPs,MaxPeakErrorPs,MaxRecall,MaxF1,GaussianTrueSigmaPs,GaussianFwhmPs,GaussianPeakErrorPs,GaussianRecall,GaussianF1
1,150,10,20,211.733761321691,399.969434400162,-3.76373778096942,1,0.999870724203015,211.733761321691,489.63775379827,-4.1542333700747,1,0.999870724203015
1,150,10,50,212.270066675238,399.969434400162,-7.81024330629884,1,0.999870724203015,212.270066675238,479.605578202872,-8.32012233449388,1,0.999870724203015
1,150,10,100,215.639574375469,499.961793000202,-26.2883199648385,1,0.999870724203015,215.639574375469,474.000975876993,-15.3146197805005,1,0.999870724203015
2,0,10,10,14.8176910210772,199.984717200081,-4.53103412986756,1,0.999872086776331,14.8176910210772,70.8009400538283,-1.64288400124262,1,0.999872086776331
2,50,10,10,72.0196154277372,199.984717200081,-1.06176124443531,1,0.999846508058327,72.0196154277372,182.280675906318,-2.10272048337037,1,0.999846508058327
2,100,10,10,141.683432323441,399.969434400162,-0.509049773755492,1,0.999846508058327,141.683432323441,342.852638155962,-1.74410689137579,1,0.999846508058327
2,150,10,10,211.838136752314,599.954151600242,-0.552601397143587,1,0.999872086776331,211.838136752314,504.217247850241,-1.69096515191118,1,0.999872086776331
2,200,10,10,282.206695176318,599.954151600242,-0.484791401186075,1,0.999872086776331,282.206695176318,667.476741287142,-1.61956282593429,1,0.999872086776331
2,300,10,10,422.961501581698,999.923586000404,0.95011876484543,0.999590625319824,0.999667357539469,422.961501581698,1003.99042935628,-1.92454913901886,0.999692968989868,0.999718547706164
2,500,10,10,704.551641330787,1599.87773760064,2.06576472729575,0.966328932555521,0.982773874577153,704.551641330787,1670.45795437486,-2.08017644541552,0.966584791730631,0.982906205281644
2,150,0,10,211.316329848426,599.954151600242,-0.802584948926223,1,0.999846508058327,211.316329848426,501.874457076287,-2.05345659048654,1,0.999846508058327
2,150,5,10,211.478515862728,599.954151600242,-0.75848407444081,1,0.999872086776331,211.478515862728,502.834221510752,-1.63735230945352,1,0.999872086776331
2,150,20,10,213.329284341212,599.954151600242,-0.774284373533677,1,0.999872086776331,213.329284341212,507.477496157261,-2.08550321880932,1,0.999872086776331
2,150,50,10,223.266428513679,599.954151600242,-0.456836798991564,1,0.999872086776331,223.266428513679,531.601152388554,-1.56156291311884,1,0.999872086776331
2,150,100,10,255.058148669129,599.954151600242,-0.247818123047038,1,0.999872086776331,255.058148669129,600.875669829117,-1.36961900113756,1,0.999872086776331
2,150,10,1,211.837994863044,599.954151600242,0.299650841627716,1,0.999872086776331,211.837994863044,506.935205650678,-0.483274864873214,1,0.999872086776331
2,150,10,5,211.842743854304,599.954151600242,-0.156347717323344,1,0.999872086776331,211.842743854304,505.101465445971,-1.10189137274331,1,0.999872086776331
2,150,10,20,211.997215718047,599.954151600242,-1.80666353824525,1,0.999872086776331,211.997215718047,498.380012617643,-3.34646673867933,1,0.999872086776331
2,150,10,50,212.645420828467,499.961793000202,-16.6112243802978,1,0.999872086776331,212.645420828467,489.91093562624,-7.96998780240329,1,0.999872086776331
2,150,10,100,215.200261819514,399.969434400162,-12.795110788637,1,0.999872086776331,215.200261819514,474.552860248719,-14.8155688874901,1,0.999872086776331
3,0,10,10,14.7534149979831,199.984717200081,-4.29287654063121,1,0.999712786234628,14.7534149979831,75.5166137806376,-1.77265752598131,1,0.999712786234628
3,50,10,10,72.0516277729892,199.984717200081,-1.9688740338425,1,0.999686684073107,72.0516277729892,183.018828586352,-2.85170846088221,1,0.999686684073107
3,100,10,10,141.810078867035,399.969434400162,-2.37445558062615,1,0.999686684073107,141.810078867035,339.854224098073,-4.11770648232316,1,0.999686684073107
3,150,10,10,211.999708839465,499.961793000202,-12.7580960660718,1,0.999686684073107,211.999708839465,500.787248539892,-4.78111544682328,1,0.999686684073107
3,200,10,10,282.32991597599,599.954151600242,-3.68325689372109,1,0.999686684073107,282.32991597599,664.841670568494,-6.70978167424016,1,0.999686684073107
3,300,10,10,423.23601446856,999.923586000404,-5.14905933429836,0.999634350188048,0.999529927922281,423.23601446856,999.401627479222,-8.84345215346051,0.999634350188048,0.999529927922281
3,500,10,10,705.14719346541,1599.87773760064,-6.33776562694094,0.967979523610531,0.983416032053493,705.14719346541,1663.80287661208,-12.6806823996635,0.968031759297952,0.983443005731267
3,150,0,10,211.55317522018,499.961793000202,-13.096402564939,1,0.999686684073107,211.55317522018,500.327723060631,-5.31470813089023,1,0.999686684073107
3,150,5,10,211.653916798309,499.961793000202,-12.9013854930725,1,0.999686684073107,211.653916798309,500.721568276044,-4.93744794518554,1,0.999686684073107
3,150,20,10,213.437638724386,499.961793000202,-13.2741917927508,1,0.999686684073107,213.437638724386,504.41004573912,-4.65470847380097,1,0.999686684073107
3,150,50,10,223.018075787721,599.954151600242,-2.3572537057852,1,0.999686684073107,223.018075787721,525.379028771943,-3.63130659132866,1,0.999686684073107
3,150,100,10,254.406558955728,599.954151600242,-1.52114222954408,1,0.999686684073107,254.406558955728,594.657516519582,-2.51334371056412,1,0.999686684073107
3,150,10,1,211.966321899848,499.961793000202,-11.7714099641807,1,0.999686684073107,211.966321899848,504.973860895381,-3.4712397025433,1,0.999686684073107
3,150,10,5,211.963955567492,499.961793000202,-12.295705055112,1,0.999686684073107,211.963955567492,503.479560401082,-4.32334204935592,1,0.999686684073107
3,150,10,20,212.1698654329,499.961793000202,-14.2981596428184,1,0.999686684073107,212.1698654329,497.816017668964,-6.61081293204294,1,0.999686684073107
3,150,10,50,212.889842621392,499.961793000202,-18.5798784161241,1,0.999686684073107,212.889842621392,487.196624946765,-10.8097758321845,1,0.999686684073107
3,150,10,100,215.938153718825,499.961793000202,-27.6108647450109,1,0.999686684073107,215.938153718825,473.194008505815,-18.7649870249016,1,0.999686684073107
4,0,10,10,14.6577341642945,199.984717200081,-4.60963669157419,1,0.999793878182005,14.6577341642945,70.8358693137624,-1.67799502214673,1,0.999793878182005
4,50,10,10,72.1964703005957,199.984717200081,-1.63102293223463,1,0.999742361003762,72.1964703005957,182.599712977439,-2.95659726534039,1,0.999742361003762
4,100,10,10,142.311583753243,399.969434400162,-1.31592581079633,1,0.999742361003762,142.311583753243,337.546295492784,-2.64959301801253,1,0.999742361003762
4,150,10,10,212.94133353878,499.961793000202,-11.6692676101806,1,0.999742361003762,212.94133353878,495.994293490363,-3.84192350922289,1,0.999742361003762
4,200,10,10,283.609627045023,599.954151600242,-1.48442751512417,1,0.999768118929225,283.609627045023,661.392967745303,-3.89525809421633,1,0.999768118929225
4,300,10,10,425.180183032306,999.923586000404,-2.31412532936206,0.999742294608803,0.999665008890149,425.180183032306,991.159876245495,-5.45129187404548,0.999742294608803,0.999665008890149
4,500,10,10,708.518072082487,1599.87773760064,-4.31092591457787,0.962941964745902,0.980915128763815,708.518072082487,1653.27376373557,-7.06823531106391,0.962941964745902,0.980915128763815
4,150,0,10,212.597244122089,499.961793000202,-12.1945969217519,1,0.999742361003762,212.597244122089,495.320309933289,-4.37670911660623,1,0.999742361003762
